"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",NA,NA,NA,NA,NA,NA,NA,5.31610040006857e-15,2.27141802419354e-13,2.74137198118723e-11,3.55430671165652e-14,4.76926177019242e-12,8.894715481888e-13,1.14771685165924e+30,3.76831124662423e-10,1.93766809331626e-11,NA,2.88744848927175e-09,9.87828458870705e-10,8.44465854121433e-12,7.72096064799227e+30,7.2976396994942e-10,5.48152317430511e-12,1.23388801757871e-11,4.39174743826859e+32,2.62269170986477e-09,2.30487305245121e+35,2.82970179429916e-08,2.72705040031606e+24,NA
"2",NA,NA,NA,NA,NA,NA,NA,5.855447699418e-15,2.11555587577206e-13,2.62512533579521e-11,3.47720531344151e-14,4.57946942948265e-12,9.38295200592329e-13,1.50430193989171e+30,3.66967330847551e-10,1.76845391218695e-11,NA,2.36111777001675e-09,7.54462685888686e-10,8.94624388733919e-12,1.44739559381896e+31,8.42410784265143e-10,5.96904079041538e-12,1.18711647109327e-11,6.95585668544559e+32,2.41596828262154e-09,2.94370780102246e+35,3.40855994737757e-08,1.73127097038105e+24,NA
"3",NA,NA,NA,NA,NA,NA,NA,6.33173470809604e-15,1.78167683327947e-13,2.78918672892924e-11,3.87064613651333e-14,4.81487380742832e-12,9.61651190481295e-13,9.12732104840662e+29,4.06499390235732e-10,1.97600211733564e-11,NA,2.15719739668626e-09,9.34869848149842e-10,8.78318816503332e-12,2.67584968642892e+31,7.81983242033072e-10,4.95993273229625e-12,1.47459363719712e-11,7.48140203461654e+32,2.85125456539366e-09,3.10423223876987e+35,2.98212317380528e-08,2.93648995143686e+24,NA
"4",NA,NA,NA,NA,NA,NA,NA,6.32628056328195e-15,1.71965086060887e-13,2.66297827142091e-11,3.43492047489836e-14,4.75565566474016e-12,9.52481246327028e-13,1.6689618407198e+30,3.91972766283275e-10,2.14046125713532e-11,NA,2.30404119998814e-09,9.84290207150202e-10,8.04369853302416e-12,2.67912436015431e+31,6.71875611683705e-10,5.99380647899043e-12,1.0200607066262e-11,3.51573975385816e+32,2.79358284802302e-09,8.72846964099448e+34,3.48454139754473e-08,1.14328072824257e+24,NA
"5",NA,NA,NA,NA,NA,NA,NA,7.06402369422507e-15,1.64723708594633e-13,2.62435164945579e-11,3.51738205124986e-14,4.54833466782201e-12,8.77059751417933e-13,7.11540223105979e+29,3.88652915960727e-10,2.07668442012884e-11,NA,2.53370998977248e-09,8.51928892498397e-10,7.94063463004393e-12,2.11862007151281e+31,8.00028207651878e-10,5.04873269040023e-12,1.35559354146381e-11,8.1963446336987e+32,2.45495018553369e-09,4.79379520784875e+35,2.67846180537586e-08,3.61601696196152e+24,NA
"6",NA,NA,NA,NA,NA,NA,NA,7.9227262351313e-15,1.56460959381303e-13,2.75095800611498e-11,3.51912051575703e-14,4.37966985769939e-12,8.76093489250402e-13,1.20715211825801e+30,3.95822617651599e-10,2.05388146452245e-11,NA,2.44120259507007e-09,7.56946774934312e-10,8.03832390976632e-12,1.49527361637046e+31,5.98432075886974e-10,6.63165344854041e-12,1.28168039365599e-11,5.31408425729329e+32,2.43899106100174e-09,2.36035830253401e+35,3.14191503461034e-08,1.86610025485088e+24,NA
"7",NA,NA,NA,NA,NA,NA,NA,8.08215142846784e-15,1.47677231918638e-13,2.63057074192877e-11,3.1800774057567e-14,4.29515769125028e-12,8.65201292981088e-13,1.16807493069252e+30,4.15518621061881e-10,2.20037639940901e-11,NA,2.21288929281285e-09,9.01740534690701e-10,9.83468849800576e-12,1.61127006538973e+31,6.65948746228691e-10,6.59812711090382e-12,1.08266194671662e-11,5.85773842218011e+32,2.59361181127576e-09,3.60292332108603e+35,2.85059577954048e-08,2.4444426983637e+24,NA
"8",NA,NA,NA,NA,NA,NA,NA,8.81324156113523e-15,1.27113102258567e-13,2.69070711484588e-11,3.19127772767234e-14,4.21368189190976e-12,8.32917007866211e-13,6.89456177499801e+29,4.23139942880286e-10,2.40054266335852e-11,NA,2.34538352780024e-09,9.42295973598794e-10,7.80928656489364e-12,1.85511220690178e+31,9.18998049998837e-10,6.78125406100868e-12,1.2040504317525e-11,3.0303833239735e+32,1.9340690677601e-09,3.1170930433007e+35,2.85781088515289e-08,2.3100452146441e+24,NA
"9",NA,NA,NA,NA,NA,NA,NA,9.3292706420665e-15,1.21121400828361e-13,2.92887537622671e-11,2.84685855146409e-14,4.44988934229985e-12,8.88301667754447e-13,1.29124291537139e+30,4.40507040227489e-10,2.20130283848703e-11,NA,2.24229052367541e-09,8.61619839662769e-10,8.81091091744255e-12,1.99048580183559e+31,9.6861281152e-10,7.412209640344e-12,1.55997995490685e-11,1.81515605692938e+33,1.63012136706899e-09,3.31325104592806e+35,2.16291434571397e-08,1.55788030917613e+24,NA
"10",NA,NA,NA,NA,NA,NA,NA,1.05309059081828e-14,1.18960086365607e-13,2.76916410363728e-11,2.91199879918004e-14,4.24881319195236e-12,8.52176870732088e-13,7.96404282552263e+29,4.23999579834832e-10,2.54308487344621e-11,NA,2.07735838810374e-09,9.4637353845174e-10,1.00518207192415e-11,3.29399645382962e+31,7.76023837593119e-10,5.9647630725013e-12,1.32151313402492e-11,7.85824796053117e+32,1.87874675075933e-09,2.63024959536817e+35,3.26018841810552e-08,2.0410732502105e+24,NA
